distance,tunneling_rate
0.1,478
0.2,488
0.30000000000000004,504
0.4,502
0.5,477
0.6,494
0.7000000000000001,472
0.8,482
0.9,487
1.0,471
1.1,508
1.2000000000000002,512
1.3000000000000003,493
1.4000000000000001,499
1.5000000000000002,497
1.6,486
1.7000000000000002,518
1.8000000000000003,475
1.9000000000000001,487
2.0,462
2.1,501
2.2,490
2.3000000000000003,471
2.4000000000000004,465
2.5000000000000004,488
2.6,460
2.7,485
2.8000000000000003,446
2.9000000000000004,464
3.0000000000000004,465
3.1,443
3.2,485
3.3000000000000003,439
3.4000000000000004,456
3.5000000000000004,441
3.6,443
3.7,456
3.8000000000000003,424
3.9000000000000004,435
4.0,438
4.1,395
4.2,408
4.3,390
4.3999999999999995,408
4.5,416
4.6,406
4.7,392
4.8,410
4.9,339
5.0,379
5.1,362
5.2,337
5.3,334
5.4,368
5.5,341
5.6,301
5.7,359
5.8,308
5.9,327
6.0,308
6.1,308
6.2,288
6.3,292
6.4,268
6.5,249
6.6,253
6.7,253
6.8,253
6.9,215
7.0,216
7.1,221
7.2,219
7.3,187
7.4,189
7.5,169
7.6,172
7.7,122
7.8,143
7.9,141
8.0,144
8.1,132
8.2,121
8.3,126
8.4,103
8.5,104
8.6,98
8.7,79
8.8,81
8.9,94
9.0,78
9.1,58
9.2,73
9.3,38
9.4,57
9.5,69
9.6,56
9.700000000000001,38
9.8,52
9.9,39
10.0,31
10.1,32
10.200000000000001,36
10.3,38
10.4,21
10.5,25
10.6,22
10.700000000000001,23
10.8,30
10.9,14
11.0,11
11.1,8
11.200000000000001,18
11.3,15
11.4,15
11.5,11
11.6,19
11.700000000000001,4
11.8,3
11.9,9
12.0,7
12.1,11
12.200000000000001,6
12.3,5
12.4,6
12.5,3
12.6,2
12.700000000000001,6
12.8,5
12.9,4
13.0,4
13.1,4
13.200000000000001,4
13.3,4
13.4,0
13.5,0
13.6,0
13.700000000000001,1
13.8,0
13.9,3
14.0,0
14.1,0
14.200000000000001,0
14.3,1
14.4,0
14.5,1
14.6,0
14.700000000000001,1
14.8,0
14.9,0
15.0,0
15.1,0
15.200000000000001,0
15.3,1
15.4,1
15.5,0
15.6,0
15.700000000000001,0
15.8,0
15.9,0
